"Name","year","gender_equality"
"Aceh",2010,53.4
"Sumatera Utara",2010,67.78
"Sumatera Barat",2010,63.04
"Riau",2010,65.14
"Jambi",2010,57.91
"Sumatera Selatan",2010,67.32
"Bengkulu",2010,68.5
"Lampung",2010,65.32
"Bangka Belitung",2010,55.62
"Kepulauan Riau",2010,56.7
"DKI Jakarta",2010,73.23
"Jawa Barat",2010,67.01
"Jawa Tengah",2010,67.96
"DI Yogyakarta",2010,77.7
"Jawa Timur",2010,67.91
"Banten",2010,65.66
"Bali",2010,58.53
"Nusa Tenggara Barat",2010,54.49
"Nusa Tenggara Timur",2010,57.98
"Kalimantan Barat",2010,55.26
"Kalimantan Tengah",2010,68.62
"Kalimantan Selatan",2010,62.53
"Kalimantan Timur",2010,60.05
"Kalimantan Utara",2010,NA
"Sulawesi Utara",2010,71.2
"Sulawesi Tengah",2010,65.37
"Sulawesi Selatan",2010,62.46
"Sulawesi Tenggara",2010,64.26
"Gorontalo",2010,61.35
"Sulawesi Barat",2010,63.15
"Maluku",2010,75.94
"Maluku Utara",2010,58.17
"Papua Barat",2010,57.97
"Papua",2010,55.42
"Aceh",2011,52.06
"Sumatera Utara",2011,67.39
"Sumatera Barat",2011,64.62
"Riau",2011,65.34
"Jambi",2011,58.89
"Sumatera Selatan",2011,68.34
"Bengkulu",2011,69.33
"Lampung",2011,65.86
"Bangka Belitung",2011,56.03
"Kepulauan Riau",2011,60.62
"DKI Jakarta",2011,74.7
"Jawa Barat",2011,68.08
"Jawa Tengah",2011,68.99
"DI Yogyakarta",2011,77.84
"Jawa Timur",2011,68.62
"Banten",2011,66.58
"Bali",2011,58.59
"Nusa Tenggara Barat",2011,56.57
"Nusa Tenggara Timur",2011,58.9
"Kalimantan Barat",2011,56.39
"Kalimantan Tengah",2011,69.48
"Kalimantan Selatan",2011,66.61
"Kalimantan Timur",2011,61.29
"Kalimantan Utara",2011,NA
"Sulawesi Utara",2011,73.34
"Sulawesi Tengah",2011,66.08
"Sulawesi Selatan",2011,63.38
"Sulawesi Tenggara",2011,65.26
"Gorontalo",2011,62.12
"Sulawesi Barat",2011,63.71
"Maluku",2011,76.51
"Maluku Utara",2011,59.38
"Papua Barat",2011,57.54
"Papua",2011,57.74
"Aceh",2012,54.44
"Sumatera Utara",2012,69.82
"Sumatera Barat",2012,65.22
"Riau",2012,69.05
"Jambi",2012,61.52
"Sumatera Selatan",2012,66.78
"Bengkulu",2012,69.57
"Lampung",2012,67.24
"Bangka Belitung",2012,56.54
"Kepulauan Riau",2012,59.32
"DKI Jakarta",2012,76.14
"Jawa Barat",2012,68.62
"Jawa Tengah",2012,70.82
"DI Yogyakarta",2012,75.57
"Jawa Timur",2012,69.29
"Banten",2012,65.53
"Bali",2012,58.49
"Nusa Tenggara Barat",2012,57.9
"Nusa Tenggara Timur",2012,59.55
"Kalimantan Barat",2012,59.34
"Kalimantan Tengah",2012,70.35
"Kalimantan Selatan",2012,68.4
"Kalimantan Timur",2012,61.84
"Kalimantan Utara",2012,NA
"Sulawesi Utara",2012,75
"Sulawesi Tengah",2012,67.96
"Sulawesi Selatan",2012,63.88
"Sulawesi Tenggara",2012,65.86
"Gorontalo",2012,62.08
"Sulawesi Barat",2012,64.25
"Maluku",2012,78.72
"Maluku Utara",2012,59.84
"Papua Barat",2012,58.46
"Papua",2012,57.76
"Aceh",2013,59.78
"Sumatera Utara",2013,70.08
"Sumatera Barat",2013,65.4
"Riau",2013,69.78
"Jambi",2013,66.19
"Sumatera Selatan",2013,70.41
"Bengkulu",2013,73.45
"Lampung",2013,65.62
"Bangka Belitung",2013,57.29
"Kepulauan Riau",2013,60.79
"DKI Jakarta",2013,77.43
"Jawa Barat",2013,67.57
"Jawa Tengah",2013,71.22
"DI Yogyakarta",2013,76.36
"Jawa Timur",2013,70.77
"Banten",2013,65.49
"Bali",2013,61.5
"Nusa Tenggara Barat",2013,58.54
"Nusa Tenggara Timur",2013,59.81
"Kalimantan Barat",2013,58.78
"Kalimantan Tengah",2013,68.61
"Kalimantan Selatan",2013,65.6
"Kalimantan Timur",2013,63.12
"Kalimantan Utara",2013,NA
"Sulawesi Utara",2013,75.55
"Sulawesi Tengah",2013,68.59
"Sulawesi Selatan",2013,64.42
"Sulawesi Tenggara",2013,64.49
"Gorontalo",2013,60.89
